Basics	cheat	open this cheat sheet	run cheat <category> to dive in, or cheat <word> to search
Basics	keymap	heatmap of what you actually use	reads your history; run /keymap in Claude Code to act on it
Basics	Ctrl+c	cancel the running command	stops a stuck or wrong command; the shell stays open
Basics	Ctrl+l	clear the screen	like the clear command, but instant
Basics	Ctrl+r	fuzzy-search command history	type a few letters of an old command, Enter to run it
Basics	Tab	autocomplete / completion menu	press twice to show the menu; arrows to pick
Basics	Alt+\	split terminal pane right	two shells side by side, no mouse
Basics	Alt+h/j/k/l	move between terminal panes	vim directions: h left, j down, k up, l right
Basics	z <dir>	jump to a frecent directory	z proj jumps to ~/work/project after you visit it once
Basics	Esc	vi normal mode (edit the command line)	then edit with vim keys; press i to type again
Basics	Ctrl+Shift+Space	QuickSelect: copy anything on screen	labels every path/URL/hash; press a label to copy it
WezTerm	Alt+\	split pane right	backslash leans right, like the new divider
WezTerm	Alt+-	split pane down	dash is a horizontal divider — pane below
WezTerm	Alt+h/j/k/l	focus pane (or arrows)	Alt not Ctrl, so Ctrl+l clear still works
WezTerm	Alt+x	close the focused pane	closes just the active pane, no confirm
WezTerm	Alt+g	3-pane layout (tall left + 2 right)	one-keystroke IDE layout: editor left, two shells right
WezTerm	Ctrl+=/-/0	font bigger / smaller / reset	0 resets to the configured size
WezTerm	Ctrl+Shift+R	reload wezterm config	applies wezterm.lua edits without restarting
WezTerm	Ctrl+Shift+Space	QuickSelect: label-jump to copy path/URL/hash	fastest way to copy a path from output, no mouse
WezTerm	Ctrl+Shift+P	command palette (fuzzy-search every action)	forgot a key? search the action by name
WezTerm	Ctrl+Shift+F	search the scrollback	find earlier output; n/N jump between matches
Mode	Ctrl+p	pane mode: n new · d down · x close · f zoom · hjkl move	mode stays active (see the tab bar); Esc leaves it
Mode	Ctrl+t	tab mode: n new · x close · h/l move · 1-9 go · r rename	tabs are full-screen workspaces; 1-9 jump directly
Mode	Ctrl+n	resize mode: hjkl/arrows resize	repeat the direction until it fits, Esc to leave
Mode	Ctrl+s	scroll/copy mode: vim keys move · / search · y yank	scroll output with j/k, / to search, y to copy
Shell	Esc	enter vi normal mode	the prompt shows the mode; i or a returns to insert
Shell	Ctrl+e	accept whole autosuggestion	the grey ghost text predicted from your history
Shell	Ctrl+f	accept next suggested word	take the suggestion one word at a time
Shell	Up/Down	prefix history search	type git then Up to cycle only past git commands
Shell	Tab	completion menu	menu-select is on: arrows to choose, Enter to accept
Fuzzy	Ctrl+r	fuzzy history search	fuzzy, so docker grep finds docker ps | grep
Fuzzy	Ctrl+t	insert file/dir path	pick a file; its path drops in at your cursor
Fuzzy	Alt+c	fuzzy cd into a subdir	search subdirectories and cd in one step
Nav	z <dir>	jump to frecent directory	frecency = frequent + recent; it learns as you cd around
Nav	zi	pick directory interactively	when several dirs match, choose from a list
Nav	.. / ...	up one / two directories	aliases for cd .. and cd ../..
Nav	ll / la	long list / names (incl. hidden)	ll is ls -lah; la lists hidden names only
